date,player,team,salary,batting_order,blended_rating,attack_conf,actual_dk_pts
2026-07-02,Josh Lowe,Los Angeles Angels,3000,8,30.6,36.0,-0.5
2026-07-02,Haoyu Lee,Detroit Tigers,2600,9,25.3,26.0,14.5
2026-07-03,Freddie Freeman,Los Angeles Dodgers,3000,3,97.4,100.0,2.5
2026-07-03,Esmerlyn Valdez,Pittsburgh Pirates,2900,4,95.0,100.0,14.5
2026-07-03,Ketel Marte,Arizona Diamondbacks,5100,1,94.7,100.0,13.0
2026-07-03,Miguel Vargas,Chicago White Sox,4900,2,90.0,96.33214709371293,22.5
2026-07-03,Mookie Betts,Los Angeles Dodgers,3000,4,90.8,100.0,4.0
2026-07-03,Jonathan Aranda,Tampa Bay Rays,4200,2,88.8,100.0,-0.5
2026-07-03,Tyler Stephenson,Cincinnati Reds,2900,7,79.4,93.45772594752187,2.0
2026-07-03,Aj Ewing,New York Mets,3300,1,80.0,96.0,2.0
2026-07-03,Heliot Ramos,San Francisco Giants,3000,3,70.5,78.14732724902217,2.5
2026-07-03,Rafael Devers,San Francisco Giants,3000,4,71.4,83.24607329842931,17.0
2026-07-03,Trevor Larnach,Minnesota Twins,3800,1,72.1,86.1820418204182,1.5
2026-07-03,Garrett Mitchell,Milwaukee Brewers,3100,1,76.3,95.0,17.5
2026-07-03,Edouard Julien,Colorado Rockies,3200,7,64.0,70.62787136294028,7.5
2026-07-03,Chase Delauter,Cleveland Guardians,3500,3,72.4,89.30647291941875,-0.5
2026-07-03,Geraldo Perdomo,Arizona Diamondbacks,4000,2,77.7,100.0,-1.0
2026-07-03,Otto Lopez,Miami Marlins,4300,3,71.3,88.24361948955917,12.5
2026-07-03,Gavin Sheets,San Diego Padres,3000,4,67.5,82.0606826801517,5.0
2026-07-03,Victor Bericoto,San Francisco Giants,3000,8,67.8,82.87370600414079,-0.5
2026-07-03,Cam Smith,Houston Astros,2500,5,55.5,58.81286549707602,3.0
2026-07-03,Victor Caratini,Minnesota Twins,3300,6,59.4,70.12676056338029,4.5
2026-07-03,Cole Young,Seattle Mariners,3000,7,51.8,55.632768361581924,2.5
2026-07-03,Tj Rumfield,Colorado Rockies,4100,4,56.6,67.13953488372093,6.5
2026-07-03,Ty France,San Diego Padres,3000,5,60.0,74.22754491017965,-1.0
2026-07-03,Mauricio Dubon,Atlanta Braves,3000,4,61.4,77.45283018867924,5.5
2026-07-03,Jake Mccarthy,Colorado Rockies,3900,1,60.4,75.68033775633293,47.0
2026-07-03,Luis Arraez,San Francisco Giants,3000,1,65.1,86.38349514563106,6.5
2026-07-03,Steven Kwan,Cleveland Guardians,3000,9,55.0,67.45945945945945,6.5
2026-07-03,Jake Cronenworth,San Diego Padres,3000,2,55.6,70.546875,7.5
2026-07-03,Leo Jimenez,Miami Marlins,2200,9,50.5,62.60573476702508,-1.0
2026-07-03,Sal Frelick,Milwaukee Brewers,3000,1,45.2,51.94856278366112,0.0
2026-07-03,Jacob Gonzalez,Chicago White Sox,2200,9,44.7,52.15202231520223,3.0
2026-07-03,Josh Lowe,Los Angeles Angels,3000,8,49.9,66.4308943089431,5.0
2026-07-03,David Fry,Cleveland Guardians,3100,2,50.7,68.44141689373296,-0.5
2026-07-03,Sungmun Song,San Diego Padres,3000,8,42.0,51.0,7.5
2026-07-03,Colby Thomas,Athletics,3000,1,49.3,66.04347826086956,-0.5
2026-07-03,Taylor Trammell,Houston Astros,2700,6,37.6,43.333333333333336,0.0
2026-07-03,Taylor Walls,Tampa Bay Rays,2900,8,43.1,57.95943837753509,7.0
2026-07-03,Gabriel Arias,Cleveland Guardians,2000,7,39.8,51.67816091954023,3.5
2026-07-03,Ernie Clement,Toronto Blue Jays,2800,7,26.5,28.390275952693827,0.0
2026-07-04,Willson Contreras,Boston Red Sox,3000,4,99.2,91.91666666666666,18.0
2026-07-04,Freddie Freeman,Los Angeles Dodgers,3000,3,98.5,100.0,20.5
2026-07-04,Miguel Vargas,Chicago White Sox,4900,1,98.2,100.0,5.5
2026-07-04,Ketel Marte,Arizona Diamondbacks,5100,1,94.4,100.0,2.0
2026-07-04,Mookie Betts,Los Angeles Dodgers,3000,4,92.2,100.0,5.0
2026-07-04,Heliot Ramos,San Francisco Giants,3000,1,74.2,73.75853018372703,6.5
2026-07-04,Jonathan Aranda,Tampa Bay Rays,4200,1,84.5,95.56537102473499,3.0
2026-07-04,Samuel Basallo,Baltimore Orioles,3500,5,69.0,69.076726342711,19.0
2026-07-04,Rafael Devers,San Francisco Giants,3000,4,76.2,88.0,5.0
2026-07-04,Michael Conforto,Chicago Cubs,3400,7,80.9,100.0,7.5
2026-07-04,Garrett Mitchell,Milwaukee Brewers,3100,5,80.3,100.0,7.5
2026-07-04,Otto Lopez,Miami Marlins,4300,3,76.3,94.04529616724739,26.0
2026-07-04,Kyle Karros,Colorado Rockies,2500,2,77.5,97.0,3.0
2026-07-04,Gavin Sheets,San Diego Padres,3000,4,68.4,80.1526717557252,4.5
2026-07-04,Cam Smith,Houston Astros,2500,6,53.3,57.844346549192366,0.0
2026-07-04,Anthony Seigler,Boston Red Sox,3000,1,53.9,59.31981981981981,13.0
2026-07-04,Ty France,San Diego Padres,3000,5,56.5,65.5813953488372,-0.5
2026-07-04,Jake Mccarthy,Colorado Rockies,3900,6,60.8,75.72811059907833,3.0
2026-07-04,Isaac Collins,Kansas City Royals,2500,7,55.3,65.06921944035346,-0.5
2026-07-04,Jake Cronenworth,San Diego Padres,3000,2,59.6,73.84758364312268,-1.5
2026-07-04,Steven Kwan,Cleveland Guardians,3000,9,57.5,70.44350758853288,8.0
2026-07-04,Luis Arraez,San Francisco Giants,3000,2,62.8,82.27118644067797,12.5
2026-07-04,Miguel Andujar,San Diego Padres,3000,8,53.4,65.8011049723757,-0.5
2026-07-04,Eugenio Suarez,Cincinnati Reds,3800,4,42.5,45.031104199066874,9.5
2026-07-04,Sal Frelick,Milwaukee Brewers,3000,7,56.6,74.37614678899082,-0.5
2026-07-04,Masyn Winn,St. Louis Cardinals,3600,5,44.7,51.08928571428571,-1.0
2026-07-04,Victor Bericoto,San Francisco Giants,3000,8,51.1,70.14155251141553,9.0
2026-07-04,Chase Meidroth,Chicago White Sox,3600,3,37.9,45.63448275862069,-1.0
2026-07-04,Kahlil Watson,Cleveland Guardians,2400,4,45.9,63.833333333333336,8.5
2026-07-04,Joey Bart,Atlanta Braves,3000,8,47.7,67.67670364500793,13.0
2026-07-04,Tyrone Taylor,New York Mets,2600,8,44.4,62.93284936479128,15.5
2026-07-04,Taylor Walls,Tampa Bay Rays,2900,8,28.7,31.91139240506329,6.5
2026-07-04,Josh Lowe,Los Angeles Angels,3000,5,38.0,55.0,13.5
2026-07-05,Freddie Freeman,Los Angeles Dodgers,3000,3,96.8,100.0,0.0
2026-07-05,Willson Contreras,Boston Red Sox,3000,4,95.2,100.0,19.5
2026-07-05,Mookie Betts,Los Angeles Dodgers,3000,4,95.1,100.0,2.0
2026-07-05,Gavin Sheets,San Diego Padres,3000,4,74.5,94.32909783989835,3.0
2026-07-05,Anthony Seigler,Boston Red Sox,3000,1,75.7,100.0,9.5
