date,pitcher,pitcher_team,trap_type,attack_conf,ITT,actual_runs_against,run_diff,pitcher_actual_er,pitcher_actual_ip
2026-06-27,Foster Griffin,Washington Nationals,Vulnerable,0.0,0.0,3,3.0,0,7.0
2026-07-01,Michael Mcgreevy,St. Louis Cardinals,Vulnerable,9.0,0.0,5,5.0,2,6.0
2026-07-02,Randy Vásquez,San Diego Padres,Short Leash,0.0,0.0,12,12.0,4,3.0
