Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Paul Skenes (43369544),Paul Skenes,43369544,P,10000,SEA@PIT 06/25/2026 12:35PM ET,PIT,20
SP,Logan Gilbert (43369545),Logan Gilbert,43369545,P,9500,SEA@PIT 06/25/2026 12:35PM ET,SEA,19.12
SP,Drew Rasmussen (43369546),Drew Rasmussen,43369546,P,9000,KC@TB 06/25/2026 12:10PM ET,TB,19.95
SP,Shane McClanahan (43369547),Shane McClanahan,43369547,P,9000,KC@TB 06/25/2026 12:10PM ET,TB,15.10
SP,Bryce Miller (43369444),Bryce Miller,43369444,P,8500,SEA@PIT 06/25/2026 12:35PM ET,SEA,22.46
SP,George Kirby (43369548),George Kirby,43369548,P,8500,SEA@PIT 06/25/2026 12:35PM ET,SEA,15.53
SP,Bryan Woo (43369549),Bryan Woo,43369549,P,8500,SEA@PIT 06/25/2026 12:35PM ET,SEA,16.83
RP,Seth Lugo (43369445),Seth Lugo,43369445,P,8000,KC@TB 06/25/2026 12:10PM ET,KC,13.09
SP,Cole Ragans (43369551),Cole Ragans,43369551,P,8000,KC@TB 06/25/2026 12:10PM ET,KC,13.19
SP,Kris Bubic (43369552),Kris Bubic,43369552,P,8000,KC@TB 06/25/2026 12:10PM ET,KC,15.94
SP,Michael Wacha (43369553),Michael Wacha,43369553,P,8000,KC@TB 06/25/2026 12:10PM ET,KC,15.67
RP,Braxton Ashcraft (43369550),Braxton Ashcraft,43369550,P,8000,SEA@PIT 06/25/2026 12:35PM ET,PIT,20.43
RP,Ian Seymour (43369446),Ian Seymour,43369446,P,7500,KC@TB 06/25/2026 12:10PM ET,TB,4.00
RP,Joe Boyle (43369554),Joe Boyle,43369554,P,7500,KC@TB 06/25/2026 12:10PM ET,TB,13.02
RP,Nick Martinez (43369556),Nick Martinez,43369556,P,7500,KC@TB 06/25/2026 12:10PM ET,TB,14.48
SP,Ryan Pepiot (43369557),Ryan Pepiot,43369557,P,7500,KC@TB 06/25/2026 12:10PM ET,TB,0
SP,Emerson Hancock (43369555),Emerson Hancock,43369555,P,7500,SEA@PIT 06/25/2026 12:35PM ET,SEA,16.71
RP,Ryan Bergert (43369559),Ryan Bergert,43369559,P,7000,KC@TB 06/25/2026 12:10PM ET,KC,0
SP,Noah Cameron (43369561),Noah Cameron,43369561,P,7000,KC@TB 06/25/2026 12:10PM ET,KC,13.41
RP,Stephen Kolek (43369562),Stephen Kolek,43369562,P,7000,KC@TB 06/25/2026 12:10PM ET,KC,13.29
SP,Luis Castillo (43369558),Luis Castillo,43369558,P,7000,SEA@PIT 06/25/2026 12:35PM ET,SEA,10.71
SP,Logan Evans (43369560),Logan Evans,43369560,P,7000,SEA@PIT 06/25/2026 12:35PM ET,SEA,0
SS,Bobby Witt Jr. (43369448),Bobby Witt Jr.,43369448,SS,6500,KC@TB 06/25/2026 12:10PM ET,KC,9.64
RP,Griffin Jax (43369564),Griffin Jax,43369564,P,6500,KC@TB 06/25/2026 12:10PM ET,TB,7.10
SP,Bubba Chandler (43369447),Bubba Chandler,43369447,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,11.39
SP,Jared Jones (43369563),Jared Jones,43369563,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,9.43
RP,Carmen Mlodzinski (43369565),Carmen Mlodzinski,43369565,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,10.86
RP,Hunter Barco (43369566),Hunter Barco,43369566,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,1.45
SP,Jose Urquidy (43369567),Jose Urquidy,43369567,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,0.81
RP,Cooper Criswell (43369568),Cooper Criswell,43369568,P,6500,SEA@PIT 06/25/2026 12:35PM ET,SEA,2.95
SP,Mitch Keller (43369569),Mitch Keller,43369569,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,11.68
RP,Antwone Kelly (43369570),Antwone Kelly,43369570,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,1.45
RP,Wilber Dotel (43369571),Wilber Dotel,43369571,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,4.92
SP,Thomas Harrington (43369572),Thomas Harrington,43369572,P,6500,SEA@PIT 06/25/2026 12:35PM ET,PIT,0
3B,Junior Caminero (43369449),Junior Caminero,43369449,3B,5700,KC@TB 06/25/2026 12:10PM ET,TB,8.25
OF,Oneil Cruz (43369508),Oneil Cruz,43369508,OF,5700,SEA@PIT 06/25/2026 12:35PM ET,PIT,10.39
RP,Steven Wilson (43369573),Steven Wilson,43369573,P,5500,KC@TB 06/25/2026 12:10PM ET,TB,0
RP,Mason Englert (43369574),Mason Englert,43369574,P,5500,KC@TB 06/25/2026 12:10PM ET,TB,4.22
SP,Steven Matz (43369575),Steven Matz,43369575,P,5500,KC@TB 06/25/2026 12:10PM ET,TB,6.55
RP,Jesse Scholtens (43369576),Jesse Scholtens,43369576,P,5500,KC@TB 06/25/2026 12:10PM ET,TB,11.42
