Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob Misiorowski (43346397),Jacob Misiorowski,43346397,P,11700,MIL@CIN 06/22/2026 07:10PM ET,MIL,29.74
SP,Chase Burns (43346398),Chase Burns,43346398,P,11000,MIL@CIN 06/22/2026 07:10PM ET,CIN,22.72
SP,Hunter Brown (43345949),Hunter Brown,43345949,P,10800,HOU@TOR 06/22/2026 07:07PM ET,HOU,24.85
SP,Tyler Glasnow (43346399),Tyler Glasnow,43346399,P,10700,LAD@MIN 06/22/2026 07:40PM ET,LAD,22.21
SP,Yoshinobu Yamamoto (43346400),Yoshinobu Yamamoto,43346400,P,10700,LAD@MIN 06/22/2026 07:40PM ET,LAD,21.60
SP,Chris Sale (43346401),Chris Sale,43346401,P,10500,ATL@SD 06/22/2026 10:10PM ET,ATL,22.96
RP,Kyle Harrison (43346402),Kyle Harrison,43346402,P,10200,MIL@CIN 06/22/2026 07:10PM ET,MIL,20
SP,Dylan Cease (43346403),Dylan Cease,43346403,P,10000,HOU@TOR 06/22/2026 07:07PM ET,TOR,23.25
SP,Jose Soriano (43346404),Jose Soriano,43346404,P,9800,BAL@LAA 06/22/2026 09:38PM ET,LAA,18.81
SP,Peter Lambert (43346405),Peter Lambert,43346405,P,9700,HOU@TOR 06/22/2026 07:07PM ET,HOU,17.49
SP,Garrett Crochet (43346406),Garrett Crochet,43346406,P,9500,BOS@COL 06/22/2026 08:40PM ET,BOS,13.78
SP,Spencer Schwellenbach (43346407),Spencer Schwellenbach,43346407,P,9500,ATL@SD 06/22/2026 10:10PM ET,ATL,0
RP,AJ Smith-Shawver (43346408),AJ Smith-Shawver,43346408,P,9500,ATL@SD 06/22/2026 10:10PM ET,ATL,0
SP,Gavin Williams (43345950),Gavin Williams,43345950,P,9300,CLE@CWS 06/22/2026 07:40PM ET,CLE,20.48
SP,Blake Snell (43346409),Blake Snell,43346409,P,9200,LAD@MIN 06/22/2026 07:40PM ET,LAD,3.95
SP,Shane Bieber (43345951),Shane Bieber,43345951,P,9000,HOU@TOR 06/22/2026 07:07PM ET,TOR,0
SP,Ronel Blanco (43346410),Ronel Blanco,43346410,P,9000,HOU@TOR 06/22/2026 07:07PM ET,HOU,0
SP,Spencer Arrighetti (43346411),Spencer Arrighetti,43346411,P,9000,HOU@TOR 06/22/2026 07:07PM ET,HOU,17.90
SP,Kevin Gausman (43346412),Kevin Gausman,43346412,P,9000,HOU@TOR 06/22/2026 07:07PM ET,TOR,15.65
SP,Corbin Burnes (43346413),Corbin Burnes,43346413,P,9000,ARI@STL 06/22/2026 07:45PM ET,ARI,0
SP,Joe Ryan (43346416),Joe Ryan,43346416,P,8800,LAD@MIN 06/22/2026 07:40PM ET,MIN,18.83
SP,Michael King (43345952),Michael King,43345952,P,8800,ATL@SD 06/22/2026 10:10PM ET,SD,14.74
SP,Nick Pivetta (43346415),Nick Pivetta,43346415,P,8800,ATL@SD 06/22/2026 10:10PM ET,SD,15.3
SP,Nolan McLean (43346414),Nolan McLean,43346414,P,8800,CHC@NYM 06/22/2026 07:10PM ET,NYM,17.97
SP,Brandon Woodruff (43345953),Brandon Woodruff,43345953,P,8700,MIL@CIN 06/22/2026 07:10PM ET,MIL,13.72
SP,Logan Henderson (43346418),Logan Henderson,43346418,P,8700,MIL@CIN 06/22/2026 07:10PM ET,MIL,18.27
SP,Chad Patrick (43346419),Chad Patrick,43346419,P,8700,MIL@CIN 06/22/2026 07:10PM ET,MIL,7.81
