date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-08-30,Elly De La Cruz,Cincinnati Reds,3000,2,77.0,67.5,86.40579710144928,Y,N,N,N,STRONG EDGE,Y,9.0,3.0,1-4,7
2026-08-30,Pete Crowarmstrong,Chicago Cubs,6400,1,80.5,64.0,97.0,Y,Y,N,N,NEUTRAL,N,27.5,4.3,1-4,5
2026-08-30,Tyler Stephenson,Cincinnati Reds,3000,4,69.5,61.3,77.61673414304994,N,N,N,N,STRONG EDGE,Y,21.0,7.0,1-4,7
2026-08-30,Sal Stewart,Cincinnati Reds,3000,3,65.3,56.1,74.42542787286064,N,N,N,N,NEUTRAL,N,16.5,5.5,1-4,7
2026-08-30,Jj Bleday,Cincinnati Reds,3000,6,52.9,55.4,50.40735873850197,N,N,N,N,ELITE PLATOON,N,5.0,1.67,5-6,7
2026-08-30,Michael Busch,Chicago Cubs,4400,3,66.6,49.4,83.78465679676985,N,Y,N,N,PLATOON TRAP,N,-2.0,-0.45,1-4,5
2026-08-30,Ian Happ,Chicago Cubs,4500,5,61.7,45.4,77.9090909090909,N,Y,N,N,NEUTRAL,N,12.0,2.67,5-6,5
2026-08-30,Seiya Suzuki,Chicago Cubs,4600,2,71.0,45.4,96.55710955710956,Y,Y,N,N,NEUTRAL,N,-0.5,-0.11,1-4,5
2026-08-30,Pedro Ramirez,Chicago Cubs,2200,7,67.3,44.6,89.93350062735257,Y,Y,N,N,NEUTRAL,N,0.0,0.0,7+,5
2026-08-30,Michael Conforto,Chicago Cubs,3500,8,65.8,44.4,87.1015228426396,Y,Y,N,N,NEUTRAL,N,5.0,1.43,7+,5
2026-08-30,Alex Bregman,Chicago Cubs,4000,4,57.9,40.2,75.64705882352942,N,Y,N,N,NEUTRAL,N,6.5,1.62,1-4,5
2026-08-30,Nico Hoerner,Chicago Cubs,3800,6,44.8,40.1,49.44213649851632,N,Y,N,Y,NEUTRAL,N,7.5,1.97,5-6,5
2026-08-30,Hector Rodriguez,Cincinnati Reds,3000,8,51.7,33.7,69.79224376731302,Y,N,N,N,NEUTRAL,N,17.0,5.67,7+,7
2026-08-30,Matt Mclain,Cincinnati Reds,3000,7,31.5,32.9,30.19936204146731,N,N,N,N,NEUTRAL,N,4.0,1.33,7+,7
2026-08-30,Eugenio Suarez,Cincinnati Reds,3000,5,43.4,32.8,54.050420168067234,Y,N,N,N,PLATOON TRAP,N,7.0,2.33,5-6,7
2026-08-30,Dane Myers,Cincinnati Reds,3000,1,41.3,31.1,51.58119658119658,N,N,N,N,PLATOON TRAP,N,13.0,4.33,1-4,7
2026-08-30,Edwin Arroyo,Cincinnati Reds,3000,9,28.9,28.5,29.285714285714285,N,N,N,N,NEUTRAL,N,-1.0,-0.33,7+,7
2026-08-30,Miguel Amaya,Chicago Cubs,2600,9,26.5,19.2,33.730043541364296,N,Y,N,N,NEUTRAL,N,2.5,0.96,7+,5
