date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-07-11,Yordan Alvarez,Houston Astros,3000,2,114.5,129.0,100.0,N,N,N,N,NEUTRAL,N,27.0,9.0,1-4,9
2026-07-11,Juan Soto,New York Mets,5800,2,101.7,103.3,100.0,N,N,N,N,NEUTRAL,N,2.0,0.34,1-4,0
2026-07-11,Jj Bleday,Cincinnati Reds,3000,3,99.6,99.2,100.0,N,N,N,N,STRONG EDGE,Y,13.5,4.5,1-4,3
2026-07-11,Pete Alonso,Baltimore Orioles,5600,4,98.3,96.7,100.0,N,Y,N,N,NEUTRAL,N,22.0,3.93,1-4,6
2026-07-11,James Wood,Washington Nationals,6200,1,94.5,89.0,100.0,Y,N,N,N,NEUTRAL,N,19.5,3.15,1-4,0
2026-07-11,Bryce Harper,Philadelphia Phillies,5800,3,76.5,88.9,64.15668202764977,N,N,N,Y,NEUTRAL,N,8.0,1.38,1-4,4
2026-07-11,Pete Crowarmstrong,Chicago Cubs,6400,1,92.7,86.4,99.0,N,N,N,N,STRONG EDGE,Y,3.0,0.47,1-4,5
2026-07-11,Freddie Freeman,Los Angeles Dodgers,5300,3,86.6,85.2,87.93012600229095,N,N,N,N,STRONG EDGE,Y,3.0,0.57,1-4,2
2026-07-11,Jordan Walker,St. Louis Cardinals,5200,4,92.0,83.9,100.0,Y,N,N,N,STRONG EDGE,Y,5.0,0.96,1-4,4
2026-07-11,Ben Rice,New York Yankees,5900,2,90.2,80.5,100.0,Y,N,N,N,STRONG EDGE,Y,10.0,1.69,1-4,0
2026-07-11,Fernando Tatis,San Diego Padres,4500,1,85.7,79.9,91.54495159059475,N,N,N,N,NEUTRAL,N,5.5,1.22,1-4,8
2026-07-11,Elly De La Cruz,Cincinnati Reds,3000,1,79.4,78.5,80.27553444180523,N,N,N,N,NEUTRAL,N,12.5,4.17,1-4,3
2026-07-11,Bobby Witt,Kansas City Royals,6100,2,86.7,78.0,95.39024390243902,N,N,N,N,NEUTRAL,N,-1.0,-0.16,1-4,1
2026-07-11,Sal Stewart,Cincinnati Reds,3000,2,87.7,76.9,98.4607843137255,N,N,N,N,ELITE PLATOON,N,2.5,0.83,1-4,3
2026-07-11,Alec Burleson,St. Louis Cardinals,4500,3,84.2,76.8,91.65432098765432,N,N,N,N,STRONG EDGE,Y,0.0,0.0,1-4,4
2026-07-11,Ketel Marte,Arizona Diamondbacks,5000,1,82.3,76.8,87.77215189873418,N,N,N,N,STRONG EDGE,Y,-1.0,-0.2,1-4,9
2026-07-11,Mookie Betts,Los Angeles Dodgers,4600,4,75.2,76.3,74.09695290858726,N,N,N,N,NEUTRAL,N,5.0,1.09,1-4,2
2026-07-11,Cooper Pratt,Milwaukee Brewers,2900,8,84.9,75.9,93.94736842105263,Y,N,N,N,STRONG EDGE,Y,0.0,0.0,7+,0
2026-07-11,Jj Wetherholt,St. Louis Cardinals,4700,1,86.5,73.0,100.0,N,N,N,N,ELITE PLATOON,N,-0.5,-0.11,1-4,4
2026-07-11,Luis Campusano,San Diego Padres,2900,8,79.0,73.0,84.91389432485323,Y,N,N,N,NEUTRAL,N,-1.5,-0.52,7+,8
2026-07-11,Kyle Schwarber,Philadelphia Phillies,6300,2,73.8,72.8,74.73735199138859,N,N,N,Y,STRONG EDGE,Y,2.5,0.4,1-4,4
2026-07-11,Gunnar Henderson,Baltimore Orioles,5100,1,70.5,72.1,68.90510948905109,N,Y,N,N,PLATOON TRAP,N,13.5,2.65,1-4,6
2026-07-11,Matt Olson,Atlanta Braves,5000,3,76.6,71.1,82.13590033975085,N,N,N,N,NEUTRAL,N,1.5,0.3,1-4,1
2026-07-11,Seiya Suzuki,Chicago Cubs,4600,2,72.6,70.3,74.84803921568627,N,N,N,N,STRONG EDGE,Y,8.5,1.85,1-4,5
2026-07-11,Joc Pederson,Texas Rangers,3200,1,70.2,70.2,70.25343320848938,N,N,N,Y,ELITE PLATOON,N,2.0,0.62,1-4,3
2026-07-11,Gabriel Moreno,Arizona Diamondbacks,3900,4,81.0,69.9,92.15906288532676,N,N,N,N,NEUTRAL,N,13.5,3.46,1-4,9
2026-07-11,Drake Baldwin,Atlanta Braves,5100,4,81.6,69.3,93.82028241335045,N,N,N,N,ELITE PLATOON,N,5.0,0.98,1-4,1
2026-07-11,Riley Greene,Detroit Tigers,3000,5,80.8,68.8,92.85983510011779,Y,N,N,N,NEUTRAL,N,1.0,0.33,5-6,2
2026-07-11,Curtis Mead,Washington Nationals,5000,3,81.8,68.0,95.63855421686748,Y,N,N,N,NEUTRAL,N,19.0,3.8,1-4,0
2026-07-11,Jake Bauers,Milwaukee Brewers,4800,4,75.8,67.9,83.67536889897843,N,N,N,N,NEUTRAL,N,8.0,1.67,1-4,0
2026-07-11,Jonathan Aranda,Tampa Bay Rays,4100,2,71.8,67.5,76.10747663551402,N,N,N,N,NEUTRAL,N,16.5,4.02,1-4,0
2026-07-11,Bryan Reynolds,Pittsburgh Pirates,3000,3,69.8,67.1,72.40274599542334,N,N,N,N,NEUTRAL,N,14.0,4.67,1-4,0
2026-07-11,Tommy Edman,Los Angeles Dodgers,3700,9,57.0,66.8,47.29193899782135,N,N,N,Y,NEUTRAL,N,6.5,1.76,7+,2
2026-07-11,Heriberto Hernandez,Miami Marlins,3500,5,78.3,65.6,91.0,Y,N,N,N,PLATOON TRAP,N,4.5,1.29,5-6,0
2026-07-11,Jac Caglianone,Kansas City Royals,4600,3,69.1,65.0,73.21346886912325,N,N,N,N,ELITE PLATOON,N,5.0,1.09,1-4,1
2026-07-11,Corbin Carroll,Arizona Diamondbacks,5500,3,62.0,64.9,59.066508313539195,N,N,N,Y,ELITE PLATOON,N,1.5,0.27,1-4,9
2026-07-11,Vinnie Pasquantino,Kansas City Royals,4100,5,74.8,64.8,84.88467374810318,N,N,N,N,NEUTRAL,N,2.0,0.49,5-6,1
2026-07-11,Michael Harris,Atlanta Braves,4200,1,77.1,64.4,89.70048309178745,N,N,N,N,ELITE PLATOON,N,2.5,0.6,1-4,1
2026-07-11,Christian Walker,Houston Astros,3000,4,79.0,63.4,94.6923076923077,N,N,N,N,NEUTRAL,N,5.0,1.67,1-4,9
2026-07-11,Taylor Ward,Baltimore Orioles,4600,3,76.4,62.9,89.88043478260869,N,Y,N,N,NEUTRAL,N,17.5,3.8,1-4,6
2026-07-11,Dalton Rushing,Los Angeles Dodgers,4100,8,63.8,62.3,65.23751522533496,Y,N,N,N,NEUTRAL,N,-0.5,-0.12,7+,2
2026-07-11,Nathaniel Lowe,Cincinnati Reds,3000,5,59.6,62.3,56.8974358974359,N,N,N,Y,STRONG EDGE,Y,17.0,5.67,5-6,3
2026-07-11,Dillon Dingler,Detroit Tigers,3000,3,65.1,61.6,68.66507177033493,N,N,N,N,NEUTRAL,N,4.5,1.5,1-4,2
2026-07-11,Manny Machado,San Diego Padres,3900,4,59.8,61.6,57.99431818181819,N,N,N,N,NEUTRAL,N,6.5,1.67,1-4,8
2026-07-11,Junior Caminero,Tampa Bay Rays,5700,3,67.3,59.9,74.72025723472669,N,N,N,N,NEUTRAL,N,15.5,2.72,1-4,0
2026-07-11,Teoscar Hernandez,Los Angeles Dodgers,4200,7,57.1,59.7,54.443213296398895,N,N,N,N,NEUTRAL,N,-0.5,-0.12,7+,2
2026-07-11,Josh Jung,Texas Rangers,4100,3,68.1,59.6,76.69135802469135,N,N,N,N,NEUTRAL,N,1.0,0.24,1-4,3
2026-07-11,Michael Busch,Chicago Cubs,4400,5,58.6,59.6,57.55376344086022,N,N,N,N,NEUTRAL,N,13.0,2.95,5-6,5
2026-07-11,Brandon Nimmo,Texas Rangers,3600,4,66.0,59.4,72.69333333333333,N,N,N,N,ELITE PLATOON,N,-1.5,-0.42,1-4,3
2026-07-11,Kyle Stowers,Miami Marlins,3900,3,59.7,59.2,60.18877551020408,N,N,N,N,NEUTRAL,N,5.0,1.28,1-4,0
2026-07-11,Griffin Conine,Miami Marlins,3200,6,61.2,58.4,63.90338164251208,N,N,N,Y,NEUTRAL,N,3.0,0.94,5-6,0
2026-07-11,Garrett Mitchell,Milwaukee Brewers,3300,6,68.8,58.2,79.40947752126367,Y,N,N,N,NEUTRAL,N,3.0,0.91,5-6,0
2026-07-11,Brice Turang,Milwaukee Brewers,5500,3,68.9,57.8,80.0171358629131,N,N,N,N,STRONG EDGE,Y,8.5,1.55,1-4,0
2026-07-11,Spencer Steer,Cincinnati Reds,3000,4,73.5,57.8,89.28685258964143,Y,N,N,N,NEUTRAL,N,1.5,0.5,1-4,3
2026-07-11,Dominic Canzone,Seattle Mariners,3900,3,61.6,57.3,65.99537037037037,N,N,N,N,NEUTRAL,N,2.0,0.51,1-4,0
2026-07-11,Andy Pages,Los Angeles Dodgers,5000,2,68.1,57.2,78.98389095415118,N,N,N,N,STRONG EDGE,Y,9.5,1.9,1-4,2
2026-07-11,Trent Grisham,New York Yankees,4100,3,59.6,57.2,62.07853403141361,N,N,N,N,NEUTRAL,N,18.5,4.51,1-4,0
2026-07-11,Randy Arozarena,Seattle Mariners,5100,2,73.9,56.5,91.33532934131736,Y,N,N,N,NEUTRAL,N,7.0,1.37,1-4,0
2026-07-11,Ivan Herrera,St. Louis Cardinals,4400,2,60.9,55.9,65.8388746803069,N,N,N,Y,ELITE PLATOON,N,5.0,1.14,1-4,4
2026-07-11,Lane Thomas,Kansas City Royals,3300,4,65.0,55.5,74.46314325452016,N,N,N,N,NEUTRAL,N,-0.5,-0.15,1-4,1
2026-07-11,Carson Benge,New York Mets,4000,4,67.3,55.4,79.24559023066486,Y,N,N,N,NEUTRAL,N,6.0,1.5,1-4,0
2026-07-11,Adley Rutschman,Baltimore Orioles,4000,2,71.0,55.3,86.61935483870968,N,Y,N,N,NEUTRAL,N,0.0,0.0,1-4,6
2026-07-11,Francisco Lindor,New York Mets,4400,3,57.9,54.9,60.92913385826772,N,N,N,N,NEUTRAL,N,2.0,0.45,1-4,0
2026-07-11,Cj Abrams,Washington Nationals,5700,4,57.9,54.5,61.270207852194,N,N,N,N,NEUTRAL,N,2.0,0.35,1-4,0
2026-07-11,Billy Cook,Pittsburgh Pirates,3000,9,62.3,53.8,70.72251308900523,Y,N,N,N,NEUTRAL,N,2.5,0.83,7+,0
2026-07-11,Wyatt Langford,Texas Rangers,4000,2,52.8,53.5,52.08433734939759,N,N,N,N,PLATOON TRAP,N,5.0,1.25,1-4,3
2026-07-11,Yandy Diaz,Tampa Bay Rays,5200,1,51.1,53.5,48.78354002254791,N,N,N,Y,NEUTRAL,N,7.0,1.35,1-4,0
2026-07-11,Jeremy Pena,Houston Astros,3000,1,63.3,53.3,73.37593984962406,N,N,N,N,NEUTRAL,N,7.0,2.33,1-4,9
2026-07-11,Cody Bellinger,New York Yankees,4900,5,47.4,53.1,41.65918097754293,N,N,N,Y,NEUTRAL,N,5.0,1.02,5-6,0
2026-07-11,Kyle Tucker,Los Angeles Dodgers,4800,6,62.2,53.1,71.2619372442019,Y,N,N,N,NEUTRAL,N,0.0,0.0,5-6,2
2026-07-11,Lars Nootbaar,St. Louis Cardinals,3900,5,54.4,53.0,55.897574123989216,N,N,N,N,NEUTRAL,N,27.0,6.92,5-6,4
2026-07-11,Isaac Collins,Kansas City Royals,2700,9,60.4,52.6,68.17977528089888,Y,N,N,N,NEUTRAL,N,-1.0,-0.37,7+,1
2026-07-11,Kevin Mcgonigle,Detroit Tigers,3000,2,70.1,52.2,88.09313725490196,N,N,N,N,STRONG EDGE,Y,2.5,0.83,1-4,2
2026-07-11,Geraldo Perdomo,Arizona Diamondbacks,3800,2,61.9,51.9,71.8884239888424,N,N,N,N,STRONG EDGE,Y,13.0,3.42,1-4,9
2026-07-11,Aj Ewing,New York Mets,3500,1,62.2,51.4,73.0,N,N,N,N,NEUTRAL,N,-0.5,-0.14,1-4,0
2026-07-11,Wilyer Abreu,Boston Red Sox,4400,3,47.4,51.4,43.484375,N,N,N,N,PLATOON TRAP,N,1.5,0.34,1-4,0
2026-07-11,Esmerlyn Valdez,Pittsburgh Pirates,3000,4,45.7,51.1,40.33333333333333,N,N,N,N,PLATOON TRAP,N,15.0,5.0,1-4,0
2026-07-11,Jackson Holliday,Baltimore Orioles,3300,8,62.9,50.9,74.93935119887165,Y,Y,N,N,NEUTRAL,N,1.5,0.45,7+,6
2026-07-11,Chase Delauter,Cleveland Guardians,3500,3,51.4,50.6,52.177215189873415,N,N,N,N,PLATOON TRAP,N,3.5,1.0,1-4,0
2026-07-11,Otto Lopez,Miami Marlins,4300,2,56.1,50.6,61.53107344632768,Y,N,N,N,PLATOON TRAP,N,1.5,0.35,1-4,0
