date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-08-16,Yordan Alvarez,Houston Astros,3000,2,85.9,109.4,62.38374291115312,N,N,N,N,NEUTRAL,N,2.5,0.83,1-4,2
2026-08-16,Fernando Tatis,San Diego Padres,4500,1,86.2,72.3,100.0,Y,N,N,N,PLATOON TRAP,N,6.0,1.33,1-4,0
2026-08-16,Mookie Betts,Los Angeles Dodgers,4600,5,74.4,70.3,78.6,N,N,N,N,NEUTRAL,N,2.5,0.54,5-6,0
2026-08-16,Jake Bauers,Milwaukee Brewers,4800,4,67.3,64.6,70.0,N,N,N,N,NEUTRAL,N,22.0,4.58,1-4,0
2026-08-16,Dominic Canzone,Seattle Mariners,3900,3,67.5,62.3,72.65533980582524,N,N,N,Y,ELITE PLATOON,N,11.0,2.82,1-4,3
2026-08-16,Wilyer Abreu,Boston Red Sox,4400,3,69.5,59.2,79.77227722772277,Y,N,N,N,PLATOON TRAP,N,1.5,0.34,1-4,0
2026-08-16,Bryce Eldridge,San Francisco Giants,3400,3,60.4,56.5,64.23650385604114,N,N,N,N,NEUTRAL,N,10.5,3.09,1-4,0
2026-08-16,Freddie Freeman,Los Angeles Dodgers,5300,2,60.8,56.5,65.08133971291866,N,N,N,N,STRONG EDGE,Y,-0.5,-0.09,1-4,0
2026-08-16,Jose Ramirez,Cleveland Guardians,5300,3,59.1,56.1,62.05547850208045,N,N,N,N,PLATOON TRAP,N,8.0,1.51,1-4,0
2026-08-16,Julio Rodriguez,Seattle Mariners,5000,4,71.8,56.0,87.68042609853529,N,N,N,N,ELITE PLATOON,N,4.0,0.8,1-4,3
2026-08-16,Xander Bogaerts,San Diego Padres,3500,8,57.4,55.7,59.04907975460122,N,N,N,N,NEUTRAL,N,9.0,2.57,7+,0
2026-08-16,Bryan Reynolds,Pittsburgh Pirates,3000,3,55.6,54.3,56.96296296296296,N,N,N,N,NEUTRAL,N,18.0,6.0,1-4,0
2026-08-16,Jackson Merrill,San Diego Padres,3900,5,56.2,53.7,58.69565217391305,N,N,N,N,NEUTRAL,N,6.5,1.67,5-6,0
2026-08-16,Cole Carrigg,Colorado Rockies,3300,2,51.9,53.6,50.21518987341772,N,N,N,Y,NEUTRAL,N,12.5,3.79,1-4,0
2026-08-16,Chase Delauter,Cleveland Guardians,3500,2,60.8,53.4,68.3,N,N,N,N,NEUTRAL,N,0.0,0.0,1-4,0
2026-08-16,Teoscar Hernandez,Los Angeles Dodgers,4200,8,46.7,53.0,40.352112676056336,N,N,N,Y,PLATOON TRAP,N,2.5,0.6,7+,0
2026-08-16,Randy Arozarena,Seattle Mariners,5100,2,60.3,52.8,67.79706601466992,N,N,N,Y,STRONG EDGE,Y,19.0,3.73,1-4,3
