date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-07-05,Freddie Freeman,Los Angeles Dodgers,5300,3,96.8,93.6,100.0,Y,N,N,N,STRONG EDGE,Y,0.0,0.0,1-4,2
2026-07-05,Willson Contreras,Boston Red Sox,4900,4,95.2,90.3,100.0,Y,N,N,N,ELITE PLATOON,N,19.5,3.98,1-4,7
2026-07-05,Mookie Betts,Los Angeles Dodgers,4600,4,95.1,90.2,100.0,Y,N,N,N,NEUTRAL,N,2.0,0.43,1-4,2
2026-07-05,Teoscar Hernandez,Los Angeles Dodgers,4200,5,90.3,89.5,91.0604467805519,N,N,Y,Y,STRONG EDGE,Y,3.5,0.83,5-6,2
2026-07-05,Nick Kurtz,Athletics,6000,1,69.4,89.3,49.592233009708735,N,N,N,Y,STRONG EDGE,Y,-1.0,-0.17,1-4,0
2026-07-05,Fernando Tatis,San Diego Padres,4500,1,87.0,74.1,100.0,N,N,N,N,NEUTRAL,N,19.5,4.33,1-4,5
2026-07-05,Andy Pages,Los Angeles Dodgers,5000,2,70.5,64.6,76.3731343283582,N,N,N,N,NEUTRAL,N,3.5,0.7,1-4,2
2026-07-05,Wilyer Abreu,Boston Red Sox,4400,3,72.6,62.5,82.68270481144343,N,N,N,Y,STRONG EDGE,Y,3.0,0.68,1-4,7
2026-07-05,Heriberto Hernandez,Miami Marlins,3500,2,64.3,61.2,67.4901185770751,N,N,N,N,PLATOON TRAP,N,36.5,10.43,1-4,0
2026-07-05,Vaughn Grissom,Los Angeles Angels,3100,3,56.1,54.9,57.22674418604651,N,N,N,N,NEUTRAL,N,-0.5,-0.16,1-4,5
2026-07-05,Gavin Sheets,San Diego Padres,3200,4,74.5,54.7,94.32909783989835,Y,N,N,N,ELITE PLATOON,N,3.0,0.94,1-4,5
2026-07-05,Xander Bogaerts,San Diego Padres,3500,7,62.8,54.6,71.05705705705705,N,N,N,N,NEUTRAL,N,-1.0,-0.29,7+,5
2026-07-05,Anthony Seigler,Boston Red Sox,2300,1,75.7,51.4,100.0,Y,N,N,N,NEUTRAL,N,9.5,4.13,1-4,7
2026-07-05,Otto Lopez,Miami Marlins,4300,1,59.5,50.3,68.75336322869956,Y,N,N,N,PLATOON TRAP,N,30.0,6.98,1-4,0
2026-07-05,Luis Campusano,San Diego Padres,2900,9,54.8,50.1,59.55411255411255,N,N,N,N,NEUTRAL,N,9.0,3.1,7+,5
2026-07-05,Manny Machado,San Diego Padres,3900,3,57.0,50.0,64.03120356612183,N,N,N,N,NEUTRAL,N,31.0,7.95,1-4,5
2026-07-05,Xavier Edwards,Miami Marlins,4100,4,56.1,49.5,62.7380073800738,N,N,N,N,NEUTRAL,N,9.5,2.32,1-4,0
2026-07-05,Randy Arozarena,Seattle Mariners,5100,2,64.2,49.3,79.04842615012106,Y,N,N,N,NEUTRAL,N,4.5,0.88,1-4,0
2026-07-05,Cole Young,Seattle Mariners,3200,6,55.0,47.9,62.06267806267806,N,N,N,N,NEUTRAL,N,1.5,0.47,5-6,0
2026-07-05,Jp Crawford,Seattle Mariners,3600,1,51.7,46.4,57.0,N,N,N,Y,NEUTRAL,N,3.5,0.97,1-4,0
2026-07-05,Jackson Merrill,San Diego Padres,3900,6,54.1,46.2,61.961783439490446,N,N,N,N,NEUTRAL,N,4.0,1.03,5-6,5
2026-07-05,Vladimir Guerrero,Toronto Blue Jays,4800,2,40.6,44.7,36.54375896700144,N,N,N,Y,NEUTRAL,N,6.5,1.35,1-4,0
2026-07-05,Kazuma Okamoto,Toronto Blue Jays,3400,3,41.7,43.5,39.96344647519582,N,N,N,N,NEUTRAL,N,-0.5,-0.15,1-4,0
2026-07-05,Max Muncy,Athletics,3500,1,38.1,43.5,32.6875,N,N,N,N,PLATOON TRAP,N,7.0,2.0,1-4,0
2026-07-05,Zach Neto,Los Angeles Angels,5200,1,43.8,40.0,47.602094240837694,N,N,N,N,NEUTRAL,N,25.0,4.81,1-4,5
2026-07-05,Masataka Yoshida,Boston Red Sox,3000,5,69.3,39.8,98.70044052863436,Y,N,N,N,NEUTRAL,N,11.0,3.67,5-6,7
2026-07-05,Jo Adell,Los Angeles Angels,3600,6,40.6,39.5,41.73053892215569,N,N,N,N,NEUTRAL,N,13.0,3.61,5-6,5
2026-07-05,Leo Jimenez,Miami Marlins,2100,7,50.3,39.5,61.01401050788091,N,N,N,N,NEUTRAL,N,18.0,8.57,7+,0
2026-07-05,Cal Raleigh,Seattle Mariners,4600,3,47.8,39.0,56.59336823734729,N,N,N,N,STRONG EDGE,Y,4.0,0.87,1-4,0
2026-07-05,Tsungche Cheng,Boston Red Sox,2000,9,55.8,38.5,73.0,N,N,N,N,NEUTRAL,N,7.0,3.5,7+,7
2026-07-05,Josh Naylor,Seattle Mariners,4700,4,43.6,38.4,48.73652694610779,N,N,N,N,NEUTRAL,N,5.0,1.06,1-4,0
2026-07-05,Ty France,San Diego Padres,2800,5,52.8,38.4,67.15,Y,N,N,N,NEUTRAL,N,-0.5,-0.18,5-6,5
2026-07-05,Luis Urias,Toronto Blue Jays,2100,8,42.2,37.9,46.475935828877006,N,N,N,N,NEUTRAL,N,0.0,0.0,7+,0
2026-07-05,Luke Raley,Seattle Mariners,4100,5,40.0,37.2,42.72727272727273,N,N,N,N,NEUTRAL,N,4.5,1.1,5-6,0
2026-07-05,Lawrence Butler,Athletics,3000,1,49.7,36.4,62.950930626057534,Y,N,N,N,NEUTRAL,N,10.5,3.5,1-4,0
2026-07-05,Jorge Soler,Los Angeles Angels,3700,4,34.9,35.9,33.99292786421499,N,N,N,N,PLATOON TRAP,N,1.5,0.41,1-4,5
2026-07-05,Liam Hicks,Miami Marlins,4900,3,43.3,35.9,50.652226233453675,N,N,N,N,NEUTRAL,N,10.0,2.04,1-4,0
2026-07-05,Brian Serven,Athletics,3000,1,42.9,35.7,50.030030030030034,N,N,N,N,NEUTRAL,N,2.5,0.83,1-4,0
2026-07-05,Joshua Kurodagrauer,Athletics,3000,1,42.9,35.7,50.0,N,N,N,N,NEUTRAL,N,4.0,1.33,1-4,0
2026-07-05,Brian Navarreto,Miami Marlins,2000,9,38.4,34.8,42.0,N,N,N,N,NEUTRAL,N,10.0,5.0,7+,0
2026-07-05,Eliezer Alfonzo,Los Angeles Dodgers,3000,9,46.8,34.6,59.0,N,N,N,N,NEUTRAL,N,0.0,0.0,7+,2
2026-07-05,Alex Call,Los Angeles Dodgers,3000,6,57.3,34.1,80.45810055865923,Y,N,N,N,NEUTRAL,N,1.0,0.33,5-6,2
2026-07-05,Zack Gelof,Athletics,4800,1,47.3,34.1,60.507246376811594,Y,N,N,N,NEUTRAL,N,5.0,1.04,1-4,0
2026-07-05,Josh Lowe,Los Angeles Angels,2200,9,33.8,33.6,34.0,Y,N,N,N,PLATOON TRAP,N,5.5,2.5,7+,5
2026-07-05,Mitch Garver,Seattle Mariners,2900,7,40.8,33.3,48.267175572519086,Y,N,N,N,PLATOON TRAP,N,15.5,5.34,7+,0
2026-07-05,Yohendrick Pinango,Toronto Blue Jays,2000,9,30.6,33.3,27.862258953168045,N,N,N,Y,STRONG EDGE,Y,2.0,1.0,7+,0
2026-07-05,Jakob Marsee,Miami Marlins,3700,8,39.8,33.2,46.3202614379085,N,N,N,N,NEUTRAL,N,9.0,2.43,7+,0
2026-07-05,Denzer Guzman,Los Angeles Angels,3200,2,34.9,32.5,37.31811697574893,N,N,N,N,NEUTRAL,N,6.5,2.03,1-4,5
