date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-09-01,Yordan Alvarez,Houston Astros,3000,2,87.5,113.6,61.36258437801351,N,N,Y,Y,NEUTRAL,N,3.0,1.0,1-4,1
2026-09-01,Pete Alonso,Baltimore Orioles,5600,2,90.7,111.5,69.88372093023256,N,N,Y,Y,NEUTRAL,N,4.5,0.8,1-4,2
2026-09-01,Ben Rice,New York Yankees,5900,1,92.2,99.5,85.0,N,Y,N,N,STRONG EDGE,Y,3.5,0.59,1-4,7
2026-09-01,Miguel Vargas,Chicago White Sox,4400,3,92.2,96.0,88.33528722157092,N,N,N,N,NEUTRAL,N,10.0,2.27,1-4,5
2026-09-01,Bryce Harper,Philadelphia Phillies,5800,3,94.7,92.4,97.00561167227833,Y,N,N,N,NEUTRAL,N,18.0,3.1,1-4,7
2026-09-01,Mike Trout,Los Angeles Angels,5000,2,77.4,88.4,66.3729863692689,N,N,N,N,STRONG EDGE,Y,-1.0,-0.2,1-4,3
2026-09-01,Gunnar Henderson,Baltimore Orioles,5100,3,89.1,80.2,98.0883590462833,Y,N,N,N,NEUTRAL,N,0.0,0.0,1-4,2
2026-09-01,Alec Burleson,St. Louis Cardinals,4500,4,69.8,79.9,59.75150784077201,N,N,N,N,STRONG EDGE,Y,-0.5,-0.11,1-4,13
2026-09-01,Will Smith,Los Angeles Dodgers,4000,5,85.7,77.7,93.63888888888889,N,N,N,N,STRONG EDGE,Y,11.0,2.75,5-6,8
2026-09-01,Munetaka Murakami,Chicago White Sox,5000,2,77.5,77.6,77.41784037558685,N,N,N,N,ELITE PLATOON,N,2.5,0.5,1-4,5
2026-09-01,Juan Soto,New York Mets,5800,2,75.3,77.2,73.39616613418531,N,N,N,N,NEUTRAL,N,0.0,0.0,1-4,0
2026-09-01,Kyle Schwarber,Philadelphia Phillies,6300,1,70.6,76.2,64.9682899207248,N,N,N,N,ELITE PLATOON,N,5.0,0.79,1-4,7
2026-09-01,Jordan Walker,St. Louis Cardinals,5200,3,58.9,74.0,43.87365911799762,N,N,N,Y,ELITE PLATOON,N,25.0,4.81,1-4,13
2026-09-01,Jake Bauers,Milwaukee Brewers,4800,4,71.2,73.0,69.31271091113611,N,N,N,N,NEUTRAL,N,5.5,1.15,1-4,9
2026-09-01,Mickey Gasper,Boston Red Sox,3100,2,86.5,73.0,100.0,Y,N,N,N,NEUTRAL,N,17.5,5.65,1-4,0
2026-09-01,Pete Crowarmstrong,Chicago Cubs,6400,1,85.3,70.7,100.0,Y,N,N,N,STRONG EDGE,Y,-1.5,-0.23,1-4,4
2026-09-01,Ketel Marte,Arizona Diamondbacks,5000,4,81.3,70.0,92.60526315789474,N,N,N,N,STRONG EDGE,Y,5.0,1.0,1-4,1
2026-09-01,Jac Caglianone,Kansas City Royals,4600,3,77.5,67.9,87.06738868832731,N,N,N,N,NEUTRAL,N,1.5,0.33,1-4,3
2026-09-01,Drake Baldwin,Atlanta Braves,5100,1,73.8,67.8,79.75675675675676,N,N,N,N,NEUTRAL,N,6.5,1.27,1-4,0
2026-09-01,Mookie Betts,Los Angeles Dodgers,4600,3,78.7,67.7,89.62962962962963,N,N,N,N,PLATOON TRAP,N,24.0,5.22,1-4,8
2026-09-01,Vinnie Pasquantino,Kansas City Royals,4100,5,81.0,67.2,94.71508379888269,Y,N,N,N,NEUTRAL,N,1.5,0.37,5-6,3
2026-09-01,Bobby Witt,Kansas City Royals,6100,2,73.3,67.1,79.44019728729963,N,N,N,N,STRONG EDGE,Y,9.5,1.56,1-4,3
2026-09-01,Freddie Freeman,Los Angeles Dodgers,5300,2,80.6,66.8,94.35876042908224,N,N,N,N,STRONG EDGE,Y,3.0,0.57,1-4,8
2026-09-01,Gabriel Moreno,Arizona Diamondbacks,3900,3,69.8,66.2,73.41176470588235,N,N,N,N,STRONG EDGE,Y,-0.5,-0.13,1-4,1
2026-09-01,Junior Caminero,Tampa Bay Rays,5700,3,75.0,65.8,84.22099447513813,Y,N,N,N,NEUTRAL,N,8.0,1.4,1-4,0
2026-09-01,Seiya Suzuki,Chicago Cubs,4600,2,82.9,65.8,100.0,Y,N,N,N,ELITE PLATOON,N,5.5,1.2,1-4,4
2026-09-01,Ryan Jeffers,Minnesota Twins,4700,4,69.3,65.6,73.01814058956916,N,N,N,N,STRONG EDGE,Y,26.0,5.53,1-4,15
2026-09-01,Elly De La Cruz,Cincinnati Reds,3000,2,67.4,64.6,70.10278113663846,N,N,N,N,PLATOON TRAP,N,6.5,2.17,1-4,0
2026-09-01,Fernando Tatis,San Diego Padres,4500,1,65.1,64.1,66.05555555555556,N,N,N,N,PLATOON TRAP,N,27.5,6.11,1-4,0
